epoch,train_loss,median_iou,recall_025,recall_050,recall_075,center_error
1,3.5019912720,0.0721953958,0.2099894434,0.0313049592,0.0017587056,0.2211812139
2,3.4116716385,0.0613121018,0.1909954250,0.0323601812,0.0024621878,0.2275324017
3,3.4124736786,0.0691351816,0.1790362298,0.0358775929,0.0014069645,0.2260362655
4,3.4050354958,0.0778593794,0.1913471669,0.0320084430,0.0010552234,0.2241692692
5,3.3972458839,0.0818922892,0.1938093603,0.0320084430,0.0003517411,0.2237508297
6,3.3865969181,0.0910509303,0.2124516368,0.0267323256,0.0003517411,0.2228694260
7,3.3666129112,0.0798834190,0.2156172991,0.0355258547,0.0014069645,0.2217683792
8,3.3298799992,0.0733625218,0.1966232806,0.0341188870,0.0024621878,0.2227864712
9,3.3126893044,0.0604674779,0.1836088598,0.0348223709,0.0021104468,0.2224922925
10,3.3092660904,0.0546165667,0.1924023926,0.0298979953,0.0007034822,0.2211718857
11,3.3199787140,0.0690809265,0.1994372159,0.0369328186,0.0028139290,0.2221793830
12,3.3187952042,0.0716078505,0.2043615878,0.0355258547,0.0014069645,0.2209426909
13,3.2910845280,0.0672480837,0.2054168135,0.0327119231,0.0010552234,0.2248998880
14,3.2871994972,0.0628481731,0.2054168135,0.0348223709,0.0024621878,0.2194629312
15,3.2697768211,0.0578426309,0.1927541345,0.0386915244,0.0024621878,0.2229408622
16,3.2714245319,0.0468092896,0.1931058764,0.0306014773,0.0017587056,0.2228378505
17,3.2368721962,0.0600125194,0.2120998949,0.0365810767,0.0021104468,0.2227464765
18,3.2259519100,0.0675361678,0.2184312344,0.0393950045,0.0024621878,0.2268931866
19,3.2368199825,0.0712511092,0.2142103463,0.0334154069,0.0017587056,0.2225021869
20,3.2120466232,0.0656199828,0.2113964111,0.0316567011,0.0024621878,0.2228399068
21,3.1952390671,0.0729487836,0.2156172991,0.0316567011,0.0021104468,0.2237486541
22,3.2030665874,0.0606499054,0.2149138302,0.0383397825,0.0021104468,0.2279259115
23,3.1925761699,0.0617536195,0.2120998949,0.0320084430,0.0024621878,0.2232663035
24,3.1989562511,0.0641064644,0.2096377015,0.0330636650,0.0028139290,0.2259162962
25,3.1828010082,0.0593311898,0.2050650716,0.0327119231,0.0024621878,0.2231435031
26,3.1608235836,0.0436635576,0.1959197968,0.0330636650,0.0031656700,0.2281581759
27,3.1504764557,0.0546881519,0.2092859596,0.0372845568,0.0017587056,0.2293453217
28,3.1401391029,0.0610755831,0.2145620883,0.0404502302,0.0024621878,0.2283212692
29,3.1243953705,0.0563249551,0.2043615878,0.0341188870,0.0038691524,0.2294452339
30,3.1259052753,0.0563382059,0.2117481530,0.0400984883,0.0021104468,0.2276432216
31,3.1048581600,0.0550573170,0.2043615878,0.0362293348,0.0021104468,0.2265523523
32,3.0980291367,0.0585840195,0.2124516368,0.0383397825,0.0031656700,0.2285854220
33,3.0938026905,0.0607645884,0.2103411853,0.0379880406,0.0031656700,0.2278469503
34,3.0839228630,0.0593170039,0.2096377015,0.0408019684,0.0042208936,0.2287873477
35,3.0741987228,0.0559035875,0.2075272650,0.0432641581,0.0038691524,0.2299549580
36,3.0682773590,0.0616357476,0.2082307488,0.0393950045,0.0038691524,0.2283680886
37,3.0654425621,0.0589438565,0.2103411853,0.0429124162,0.0042208936,0.2296887338
38,3.0652527809,0.0602263957,0.2068237811,0.0404502302,0.0028139290,0.2288936228
39,3.0638127327,0.0574241616,0.2078790069,0.0404502302,0.0028139290,0.2292083055
40,3.0614447594,0.0576720387,0.2068237811,0.0411537103,0.0028139290,0.2292243242
